Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
1,1131,987,2621,1319,straight,21,Male,65kg
2,1097,1327,2523,1523,straight,21,Male,65kg
3,1070,1299,2493,1593,straight,21,Male,65kg
4,1089,1308,2529,1616,straight,21,Male,65kg
5,1095,1263,2523,1601,straight,21,Male,65kg
6,1109,1278,2523,1578,straight,21,Male,65kg
7,1088,1276,2525,1586,straight,21,Male,65kg
8,1099,1298,2540,1610,straight,21,Male,65kg
9,1101,1264,2544,1618,straight,21,Male,65kg
10,1106,1271,2550,1610,straight,21,Male,65kg
11,1109,1292,2551,1600,straight,21,Male,65kg
12,1104,1283,2557,1610,straight,21,Male,65kg
13,1104,1321,2559,1648,straight,21,Male,65kg
14,1141,1375,2556,1664,straight,21,Male,65kg
15,1130,1327,2555,1664,straight,21,Male,65kg
16,1126,1359,2559,1664,straight,21,Male,65kg
17,1136,1344,2555,1669,straight,21,Male,65kg
18,1134,1344,2557,1665,straight,21,Male,65kg
19,1130,1358,2559,1676,straight,21,Male,65kg
20,1126,1347,2558,1691,straight,21,Male,65kg
21,1139,1374,2545,1679,straight,21,Male,65kg
22,1154,1431,2559,1664,straight,21,Male,65kg
23,1133,1408,2553,1669,straight,21,Male,65kg
24,1140,1407,2559,1637,straight,21,Male,65kg
25,1136,1408,2547,1677,straight,21,Male,65kg
26,1152,1394,2548,1671,straight,21,Male,65kg
27,1154,1391,2558,1674,straight,21,Male,65kg
28,1155,1391,2556,1664,straight,21,Male,65kg
29,1138,1390,2555,1603,straight,21,Male,65kg
30,1149,1391,2554,1662,straight,21,Male,65kg
31,1166,1402,2555,1665,straight,21,Male,65kg
32,1161,1394,2559,1665,straight,21,Male,65kg
33,1159,1397,2559,1642,straight,21,Male,65kg
34,1166,1389,2559,1648,straight,21,Male,65kg
35,1168,1392,2559,1651,straight,21,Male,65kg
36,1168,1392,2559,1654,straight,21,Male,65kg
37,1168,1383,2559,1650,straight,21,Male,65kg
38,1170,1386,2559,1616,straight,21,Male,65kg
39,1167,1386,2559,1635,straight,21,Male,65kg
40,1171,1392,2559,1650,straight,21,Male,65kg
41,1165,1399,2559,1664,straight,21,Male,65kg
42,1171,1399,2559,1649,straight,21,Male,65kg
43,1165,1395,2559,1635,straight,21,Male,65kg
44,1163,1393,2559,1680,straight,21,Male,65kg
45,1190,1411,2559,1686,straight,21,Male,65kg
46,1153,1393,2559,1677,straight,21,Male,65kg
47,1173,1395,2559,1685,straight,21,Male,65kg
48,1175,1399,2559,1680,straight,21,Male,65kg
49,1191,1408,2586,1666,straight,21,Male,65kg
50,1174,1406,2559,1699,straight,21,Male,65kg
51,1172,1405,2559,1687,straight,21,Male,65kg
52,1169,1410,2559,1702,straight,21,Male,65kg
53,1168,1411,2559,1708,straight,21,Male,65kg
54,1178,1417,2578,1729,straight,21,Male,65kg
55,1178,1387,2578,1717,straight,21,Male,65kg
56,1183,1418,2559,1724,straight,21,Male,65kg
57,1192,1413,2559,1713,straight,21,Male,65kg
58,1180,1410,2559,1714,straight,21,Male,65kg
59,1172,1415,2578,1708,straight,21,Male,65kg
60,1174,1414,2559,1708,straight,21,Male,65kg
61,1178,1420,2577,1718,straight,21,Male,65kg
62,1172,1407,2559,1721,straight,21,Male,65kg
63,1168,1413,2559,1724,straight,21,Male,65kg
64,1193,1408,2559,1714,straight,21,Male,65kg
65,1171,1419,2559,1725,straight,21,Male,65kg
66,1162,1406,2559,1728,straight,21,Male,65kg
67,1179,1406,2559,1725,straight,21,Male,65kg
68,1174,1407,2559,1728,straight,21,Male,65kg
69,1170,1397,2559,1735,straight,21,Male,65kg
70,1158,1397,2559,1727,straight,21,Male,65kg
71,1172,1403,2587,1733,straight,21,Male,65kg
72,1168,1405,2587,1727,straight,21,Male,65kg
73,1157,1392,2591,1729,straight,21,Male,65kg
74,1172,1399,2583,1723,straight,21,Male,65kg
75,1152,1400,2586,1723,straight,21,Male,65kg
76,1161,1398,2559,1701,straight,21,Male,65kg
77,1165,1397,2587,1716,straight,21,Male,65kg
78,1169,1402,2589,1726,straight,21,Male,65kg
79,1159,1399,2586,1712,straight,21,Male,65kg
80,1173,1398,2588,1715,straight,21,Male,65kg
81,1167,1393,2592,1706,straight,21,Male,65kg
82,1174,1397,2591,1680,straight,21,Male,65kg
83,1179,1397,2593,1707,straight,21,Male,65kg
84,1182,1395,2592,1707,straight,21,Male,65kg
