,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
1,2505,787,2255,2380,straight,21,Male,65kg
2,2498,749,2237,2367,straight,21,Male,65kg
3,2507,819,2197,2352,straight,21,Male,65kg
4,2512,791,2150,2331,straight,21,Male,65kg
5,2512,777,2143,2327,straight,21,Male,65kg
6,2517,782,2176,2346,straight,21,Male,65kg
7,2525,835,2142,2333,straight,21,Male,65kg
8,2512,780,2225,2368,straight,21,Male,65kg
9,2511,793,2215,2363,straight,21,Male,65kg
10,2503,726,2229,2366,straight,21,Male,65kg
11,2519,528,2247,2383,straight,21,Male,65kg
12,2479,557,2257,2368,straight,21,Male,65kg
13,2501,570,2306,2403,straight,21,Male,65kg
14,2512,704,2293,2402,straight,21,Male,65kg
15,2512,663,2314,2413,straight,21,Male,65kg
16,2514,578,2306,2410,straight,21,Male,65kg
17,2492,572,2290,2391,straight,21,Male,65kg
18,2516,611,2287,2401,straight,21,Male,65kg
19,2483,585,2274,2378,straight,21,Male,65kg
20,2510,590,2240,2375,straight,21,Male,65kg
21,2512,624,2269,2390,straight,21,Male,65kg
22,2486,592,2272,2379,straight,21,Male,65kg
23,2491,671,2288,2389,straight,21,Male,65kg
24,2522,694,2288,2405,straight,21,Male,65kg
25,2482,692,2294,2388,straight,21,Male,65kg
26,2481,734,2288,2384,straight,21,Male,65kg
27,2494,739,2277,2385,straight,21,Male,65kg
28,2514,699,2278,2396,straight,21,Male,65kg
29,2507,752,2255,2381,straight,21,Male,65kg
30,2528,767,2251,2389,straight,21,Male,65kg
31,2528,662,2272,2400,straight,21,Male,65kg
32,2512,698,2251,2381,straight,21,Male,65kg
33,2538,783,2262,2400,straight,21,Male,65kg
34,2546,738,2246,2396,straight,21,Male,65kg
35,2551,763,2021,2286,straight,21,Male,65kg
36,2535,855,1957,2246,straight,21,Male,65kg
37,2544,896,1954,2249,straight,21,Male,65kg
38,2559,858,2103,2331,straight,21,Male,65kg
39,2559,910,2109,2334,straight,21,Male,65kg
40,2586,916,2095,2340,straight,21,Male,65kg
41,2581,906,2141,2361,straight,21,Male,65kg
42,2535,838,2106,2320,straight,21,Male,65kg
43,2581,818,2141,2361,straight,21,Male,65kg
44,2550,833,2121,2335,straight,21,Male,65kg
45,2559,853,2129,2344,straight,21,Male,65kg
46,2579,889,2130,2354,straight,21,Male,65kg
47,2559,907,2128,2343,straight,21,Male,65kg
48,2585,875,2134,2359,straight,21,Male,65kg
49,2557,844,2131,2344,straight,21,Male,65kg
50,2580,871,2150,2365,straight,21,Male,65kg
51,2559,821,2134,2346,straight,21,Male,65kg
52,2559,858,2133,2346,straight,21,Male,65kg
53,2548,819,2130,2339,straight,21,Male,65kg
54,2540,774,2135,2337,straight,21,Male,65kg
55,2547,781,2151,2349,straight,21,Male,65kg
56,2559,675,2173,2366,straight,21,Male,65kg
57,2544,675,2202,2373,straight,21,Male,65kg
58,2554,800,2322,2438,straight,21,Male,65kg
59,2559,812,2356,2457,straight,21,Male,65kg
60,2545,831,2354,2449,straight,21,Male,65kg
61,2548,834,2327,2437,straight,21,Male,65kg
62,2559,800,2352,2455,straight,21,Male,65kg
63,2549,803,2345,2447,straight,21,Male,65kg
64,2544,841,2306,2425,straight,21,Male,65kg
65,2547,838,2279,2413,straight,21,Male,65kg
66,2546,865,2293,2419,straight,21,Male,65kg
67,2544,835,2288,2416,straight,21,Male,65kg
68,2544,852,2294,2419,straight,21,Male,65kg
69,2559,827,2278,2418,straight,21,Male,65kg
70,2559,764,2271,2415,straight,21,Male,65kg
71,2559,758,2253,2406,straight,21,Male,65kg
72,2559,734,2210,2384,straight,21,Male,65kg
73,2608,907,2077,2342,straight,21,Male,65kg
74,2625,832,2082,2353,straight,21,Male,65kg
75,2559,885,2277,2418,straight,21,Male,65kg
76,2559,883,2256,2407,straight,21,Male,65kg
77,2559,921,2269,2414,straight,21,Male,65kg
78,2590,901,2241,2415,straight,21,Male,65kg
79,2607,902,2252,2429,straight,21,Male,65kg
80,2559,961,2295,2427,straight,21,Male,65kg
81,2597,965,2255,2426,straight,21,Male,65kg
82,2559,983,2256,2407,straight,21,Male,65kg
