Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
1,1424,1789,2273,2000,straight,21,Male,65kg
2,1439,1776,2219,2011,straight,21,Male,65kg
3,1458,1787,2253,2003,straight,21,Male,65kg
4,1483,1765,2245,1999,straight,21,Male,65kg
5,1482,1751,2226,1983,straight,21,Male,65kg
6,1498,1783,2257,2000,straight,21,Male,65kg
7,1513,1776,2245,1987,straight,21,Male,65kg
8,1486,1747,2258,1968,straight,21,Male,65kg
9,1521,1776,2261,1979,straight,21,Male,65kg
10,1501,1765,2284,1946,straight,21,Male,65kg
11,1520,1778,2295,1922,straight,21,Male,65kg
12,1535,1763,2299,1915,straight,21,Male,65kg
13,1535,1771,2277,1937,straight,21,Male,65kg
14,1525,1741,2270,1926,straight,21,Male,65kg
15,1531,1729,2253,1906,straight,21,Male,65kg
16,1490,1721,2279,1946,straight,21,Male,65kg
17,1520,1774,2281,1936,straight,21,Male,65kg
18,1526,1787,2238,1957,straight,21,Male,65kg
19,1535,1801,2224,1925,straight,21,Male,65kg
20,1563,1806,2227,1935,straight,21,Male,65kg
21,1557,1799,2258,1942,straight,21,Male,65kg
22,1535,1823,2205,1941,straight,21,Male,65kg
23,1535,1808,2204,1935,straight,21,Male,65kg
24,1535,1840,2287,1943,straight,21,Male,65kg
25,1535,1824,2270,1933,straight,21,Male,65kg
26,1568,1835,2246,1936,straight,21,Male,65kg
27,1558,1822,2286,1931,straight,21,Male,65kg
28,1520,1838,2259,1930,straight,21,Male,65kg
29,1555,1858,2271,1904,straight,21,Male,65kg
30,1565,1835,2258,1929,straight,21,Male,65kg
31,1595,1842,2267,1930,straight,21,Male,65kg
32,1603,1861,2267,1939,straight,21,Male,65kg
33,1571,1840,2298,1907,straight,21,Male,65kg
34,1577,1857,2273,1902,straight,21,Male,65kg
35,1568,1842,2289,1905,straight,21,Male,65kg
36,1559,1854,2279,1901,straight,21,Male,65kg
37,1584,1840,2278,1889,straight,21,Male,65kg
38,1583,1872,2286,1877,straight,21,Male,65kg
39,1590,1872,2287,1878,straight,21,Male,65kg
40,1591,1945,2325,1875,straight,21,Male,65kg
41,1575,1939,2326,1866,straight,21,Male,65kg
42,1584,1947,2318,1914,straight,21,Male,65kg
43,1577,1957,2320,1864,straight,21,Male,65kg
44,1513,1968,2259,1901,straight,21,Male,65kg
45,1461,1985,2279,1917,straight,21,Male,65kg
46,1554,1968,2271,1931,straight,21,Male,65kg
47,1584,1911,2257,1914,straight,21,Male,65kg
48,1554,1849,2288,1921,straight,21,Male,65kg
49,1572,1889,2300,1904,straight,21,Male,65kg
50,1535,1889,2298,1907,straight,21,Male,65kg
51,1597,1870,2260,1936,straight,21,Male,65kg
52,1571,1881,2267,1934,straight,21,Male,65kg
53,1518,1889,2287,1913,straight,21,Male,65kg
54,1535,1876,2271,1911,straight,21,Male,65kg
55,1535,1899,2293,1923,straight,21,Male,65kg
56,1573,1894,2261,1929,straight,21,Male,65kg
57,1572,1860,2271,1936,straight,21,Male,65kg
58,1535,1889,2277,1943,straight,21,Male,65kg
59,1535,1914,2291,1941,straight,21,Male,65kg
60,1531,1908,2286,1904,straight,21,Male,65kg
61,1563,1911,2274,1933,straight,21,Male,65kg
62,1535,1895,2275,1930,straight,21,Male,65kg
63,1581,1901,2260,1957,straight,21,Male,65kg
64,1584,1914,2290,1903,straight,21,Male,65kg
65,1582,1866,2299,1879,straight,21,Male,65kg
66,1567,1783,2307,1893,straight,21,Male,65kg
67,1595,1804,2268,1914,straight,21,Male,65kg
68,1569,1862,2257,1943,straight,21,Male,65kg
69,1571,1866,2235,1930,straight,21,Male,65kg
70,1557,1843,2250,1943,straight,21,Male,65kg
71,1530,1856,2255,1918,straight,21,Male,65kg
72,1569,1903,2268,1942,straight,21,Male,65kg
73,1585,1911,2246,1938,straight,21,Male,65kg
74,1613,1915,2247,1947,straight,21,Male,65kg
75,1578,1918,2254,1924,straight,21,Male,65kg
76,1584,1921,2256,1953,straight,21,Male,65kg
77,1607,1907,2267,1970,straight,21,Male,65kg
78,1565,1968,2282,1946,straight,21,Male,65kg
79,1614,1945,2288,1958,straight,21,Male,65kg
80,1584,1931,2259,1930,straight,21,Male,65kg
81,1557,1949,2235,1936,straight,21,Male,65kg
82,1534,1963,2257,1917,straight,21,Male,65kg
83,1582,1953,2253,1923,straight,21,Male,65kg
84,1566,1948,2254,1920,straight,21,Male,65kg
85,1559,1969,2277,1924,straight,21,Male,65kg
86,1562,1961,2258,1927,straight,21,Male,65kg
87,1569,1903,2231,1936,straight,21,Male,65kg
88,1435,1743,2242,1950,straight,21,Male,65kg
89,1442,1648,2285,1936,straight,21,Male,65kg
90,1439,1697,2266,1948,straight,21,Male,65kg
91,1456,1744,2283,1974,straight,21,Male,65kg
92,1456,1734,2279,1943,straight,21,Male,65kg
93,1437,1765,2290,1923,straight,21,Male,65kg
94,1453,1735,2295,1915,straight,21,Male,65kg
95,1461,1733,2275,1888,straight,21,Male,65kg
96,1488,1766,2294,1892,straight,21,Male,65kg
97,1459,1771,2293,1895,straight,21,Male,65kg
98,1456,1757,2273,1874,straight,21,Male,65kg
99,1439,1804,2289,1882,straight,21,Male,65kg
100,1535,1825,2247,1877,straight,21,Male,65kg
101,1535,1914,2263,1842,straight,21,Male,65kg
102,1535,1949,2320,1796,straight,21,Male,65kg
103,1600,1961,2305,1791,straight,21,Male,65kg
104,1584,1925,2261,1826,straight,21,Male,65kg
105,1590,1927,2254,1852,straight,21,Male,65kg
106,1563,1969,2256,1871,straight,21,Male,65kg
107,1528,1970,2250,1890,straight,21,Male,65kg
108,1595,1984,2239,1857,straight,21,Male,65kg
109,1558,1979,2259,1898,straight,21,Male,65kg
110,1517,1996,2243,1919,straight,21,Male,65kg
111,1525,2000,2250,1917,straight,21,Male,65kg
112,1483,1933,2240,1910,straight,21,Male,65kg
113,1473,1951,2234,1909,straight,21,Male,65kg
114,1481,1935,2244,1909,straight,21,Male,65kg
115,1477,1957,2240,1901,straight,21,Male,65kg
116,1478,1947,2238,1926,straight,21,Male,65kg
117,1535,1979,2246,1910,straight,21,Male,65kg
118,1477,1947,2246,1904,straight,21,Male,65kg
119,1470,1966,2247,1914,straight,21,Male,65kg
120,1520,1963,2251,1936,straight,21,Male,65kg
121,1498,1969,2258,1921,straight,21,Male,65kg
122,1472,1990,2261,1916,straight,21,Male,65kg
123,1474,1968,2233,1903,straight,21,Male,65kg
124,1456,1951,2259,1904,straight,21,Male,65kg
125,1471,1949,2256,1905,straight,21,Male,65kg
126,1479,1967,2241,1885,straight,21,Male,65kg
127,1486,1983,2269,1872,straight,21,Male,65kg
128,1569,1984,2299,1891,straight,21,Male,65kg
129,1431,1981,2288,1947,straight,21,Male,65kg
130,1488,1984,2274,1963,straight,21,Male,65kg
131,1508,1987,2288,1969,straight,21,Male,65kg
132,1506,1995,2242,1943,straight,21,Male,65kg
133,1500,2007,2264,1951,straight,21,Male,65kg
134,1488,2002,2244,1973,straight,21,Male,65kg
135,1517,1991,2255,1966,straight,21,Male,65kg
136,1472,2011,2247,1970,straight,21,Male,65kg
137,1474,2015,2260,1997,straight,21,Male,65kg
138,1474,1949,2257,1978,straight,21,Male,65kg
139,1475,1984,2245,1981,straight,21,Male,65kg
140,1471,1989,2242,2000,straight,21,Male,65kg
141,1491,1975,2256,1987,straight,21,Male,65kg
142,1491,1995,2263,1983,straight,21,Male,65kg
143,1535,2021,2263,1974,straight,21,Male,65kg
144,1535,1980,2262,1968,straight,21,Male,65kg
145,1565,1949,2260,1977,straight,21,Male,65kg
146,1532,1998,2261,1975,straight,21,Male,65kg
147,1502,1991,2279,1964,straight,21,Male,65kg
148,1494,2000,2270,1986,straight,21,Male,65kg
149,1475,1990,2271,1967,straight,21,Male,65kg
150,1598,1999,2293,1943,straight,21,Male,65kg
151,1602,2013,2314,1920,straight,21,Male,65kg
152,1612,1995,2324,1918,straight,21,Male,65kg
153,1453,1973,2251,1936,straight,21,Male,65kg
154,1488,1970,2282,1951,straight,21,Male,65kg
155,1469,1969,2275,1942,straight,21,Male,65kg
156,1465,1969,2274,1931,straight,21,Male,65kg
157,1489,2000,2295,1966,straight,21,Male,65kg
158,1488,1980,2263,1925,straight,21,Male,65kg
159,1502,1968,2303,1931,straight,21,Male,65kg
160,1473,1968,2288,1929,straight,21,Male,65kg
161,1500,1964,2275,1935,straight,21,Male,65kg
162,1478,1959,2271,1916,straight,21,Male,65kg
163,1499,2000,2273,1941,straight,21,Male,65kg
164,1486,1963,2271,1936,straight,21,Male,65kg
165,1479,1964,2271,1940,straight,21,Male,65kg
166,1487,1969,2273,1936,straight,21,Male,65kg
167,1503,1938,2279,1936,straight,21,Male,65kg
168,1473,1983,2274,1936,straight,21,Male,65kg
169,1505,1963,2267,1950,straight,21,Male,65kg
170,1488,2000,2274,1946,straight,21,Male,65kg
171,1493,1983,2281,1942,straight,21,Male,65kg
172,1469,1990,2282,1964,straight,21,Male,65kg
173,1488,1974,2242,1946,straight,21,Male,65kg
174,1515,1996,2261,1945,straight,21,Male,65kg
175,1507,1980,2272,1930,straight,21,Male,65kg
176,1488,1963,2275,1947,straight,21,Male,65kg
177,1533,1981,2282,1936,straight,21,Male,65kg
